Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@3b82a08f,de.ugoe.cs.tcs.se.graph.SEFile@1fb12d9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3b82a08f,de.ugoe.cs.tcs.se.graph.SEFile@3ecd2375,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3b82a08f,de.ugoe.cs.tcs.se.graph.SEFile@7ebc0c22,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,de.ugoe.cs.tcs.se.graph.SEFile@12a74539,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,de.ugoe.cs.tcs.se.graph.SEFile@331ed696,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,de.ugoe.cs.tcs.se.graph.SEFile@409f97ad,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,de.ugoe.cs.tcs.se.graph.SEFile@7b0b362c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,de.ugoe.cs.tcs.se.graph.SEFile@39406cb8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,de.ugoe.cs.tcs.se.graph.SEFile@681da7fb,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,de.ugoe.cs.tcs.se.graph.SEFile@22265d93,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,de.ugoe.cs.tcs.se.graph.SEFile@47725592,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,de.ugoe.cs.tcs.se.graph.SEFile@1fb12d9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,de.ugoe.cs.tcs.se.graph.SEFile@3ecd2375,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,de.ugoe.cs.tcs.se.graph.SEFile@7ebc0c22,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,de.ugoe.cs.tcs.se.graph.SEFile@12a74539,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,de.ugoe.cs.tcs.se.graph.SEFile@331ed696,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,de.ugoe.cs.tcs.se.graph.SEFile@409f97ad,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,de.ugoe.cs.tcs.se.graph.SEFile@7b0b362c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,de.ugoe.cs.tcs.se.graph.SEFile@39406cb8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,de.ugoe.cs.tcs.se.graph.SEFile@681da7fb,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,de.ugoe.cs.tcs.se.graph.SEFile@22265d93,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,de.ugoe.cs.tcs.se.graph.SEFile@47725592,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,de.ugoe.cs.tcs.se.graph.SEFile@1fb12d9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,de.ugoe.cs.tcs.se.graph.SEFile@3ecd2375,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,de.ugoe.cs.tcs.se.graph.SEFile@7ebc0c22,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,de.ugoe.cs.tcs.se.graph.SEFile@12a74539,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,de.ugoe.cs.tcs.se.graph.SEFile@331ed696,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,de.ugoe.cs.tcs.se.graph.SEFile@409f97ad,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,de.ugoe.cs.tcs.se.graph.SEFile@7b0b362c,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,de.ugoe.cs.tcs.se.graph.SEFile@39406cb8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,de.ugoe.cs.tcs.se.graph.SEFile@681da7fb,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,de.ugoe.cs.tcs.se.graph.SEFile@22265d93,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,de.ugoe.cs.tcs.se.graph.SEFile@47725592,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,de.ugoe.cs.tcs.se.graph.SEFile@1fb12d9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,de.ugoe.cs.tcs.se.graph.SEFile@3ecd2375,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,de.ugoe.cs.tcs.se.graph.SEFile@7ebc0c22,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,de.ugoe.cs.tcs.se.graph.SEFile@12a74539,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,de.ugoe.cs.tcs.se.graph.SEFile@331ed696,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,de.ugoe.cs.tcs.se.graph.SEFile@409f97ad,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,de.ugoe.cs.tcs.se.graph.SEFile@7b0b362c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,de.ugoe.cs.tcs.se.graph.SEFile@39406cb8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,de.ugoe.cs.tcs.se.graph.SEFile@681da7fb,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,de.ugoe.cs.tcs.se.graph.SEFile@22265d93,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,de.ugoe.cs.tcs.se.graph.SEFile@47725592,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,de.ugoe.cs.tcs.se.graph.SEFile@1fb12d9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,de.ugoe.cs.tcs.se.graph.SEFile@3ecd2375,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,de.ugoe.cs.tcs.se.graph.SEFile@7ebc0c22,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,de.ugoe.cs.tcs.se.graph.SEFile@12a74539,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,de.ugoe.cs.tcs.se.graph.SEFile@331ed696,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,de.ugoe.cs.tcs.se.graph.SEFile@409f97ad,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,de.ugoe.cs.tcs.se.graph.SEFile@7b0b362c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,de.ugoe.cs.tcs.se.graph.SEFile@39406cb8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,de.ugoe.cs.tcs.se.graph.SEFile@681da7fb,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,de.ugoe.cs.tcs.se.graph.SEFile@22265d93,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,de.ugoe.cs.tcs.se.graph.SEFile@47725592,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,de.ugoe.cs.tcs.se.graph.SEFile@1fb12d9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,de.ugoe.cs.tcs.se.graph.SEFile@3ecd2375,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,de.ugoe.cs.tcs.se.graph.SEFile@7ebc0c22,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@12a74539,de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@12a74539,de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@12a74539,de.ugoe.cs.tcs.se.graph.SEFile@331ed696,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@12a74539,de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@12a74539,de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@12a74539,de.ugoe.cs.tcs.se.graph.SEFile@409f97ad,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@12a74539,de.ugoe.cs.tcs.se.graph.SEFile@7b0b362c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@12a74539,de.ugoe.cs.tcs.se.graph.SEFile@39406cb8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@12a74539,de.ugoe.cs.tcs.se.graph.SEFile@681da7fb,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@12a74539,de.ugoe.cs.tcs.se.graph.SEFile@22265d93,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@12a74539,de.ugoe.cs.tcs.se.graph.SEFile@47725592,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@12a74539,de.ugoe.cs.tcs.se.graph.SEFile@1fb12d9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@12a74539,de.ugoe.cs.tcs.se.graph.SEFile@3ecd2375,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@12a74539,de.ugoe.cs.tcs.se.graph.SEFile@7ebc0c22,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,de.ugoe.cs.tcs.se.graph.SEFile@331ed696,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,de.ugoe.cs.tcs.se.graph.SEFile@409f97ad,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,de.ugoe.cs.tcs.se.graph.SEFile@7b0b362c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,de.ugoe.cs.tcs.se.graph.SEFile@39406cb8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,de.ugoe.cs.tcs.se.graph.SEFile@681da7fb,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,de.ugoe.cs.tcs.se.graph.SEFile@22265d93,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,de.ugoe.cs.tcs.se.graph.SEFile@47725592,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,de.ugoe.cs.tcs.se.graph.SEFile@1fb12d9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,de.ugoe.cs.tcs.se.graph.SEFile@3ecd2375,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,de.ugoe.cs.tcs.se.graph.SEFile@7ebc0c22,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,de.ugoe.cs.tcs.se.graph.SEFile@331ed696,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,de.ugoe.cs.tcs.se.graph.SEFile@409f97ad,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,de.ugoe.cs.tcs.se.graph.SEFile@7b0b362c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,de.ugoe.cs.tcs.se.graph.SEFile@39406cb8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,de.ugoe.cs.tcs.se.graph.SEFile@681da7fb,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,de.ugoe.cs.tcs.se.graph.SEFile@22265d93,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,de.ugoe.cs.tcs.se.graph.SEFile@47725592,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,de.ugoe.cs.tcs.se.graph.SEFile@1fb12d9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,de.ugoe.cs.tcs.se.graph.SEFile@3ecd2375,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,de.ugoe.cs.tcs.se.graph.SEFile@7ebc0c22,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@331ed696,de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@331ed696,de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@331ed696,de.ugoe.cs.tcs.se.graph.SEFile@409f97ad,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@331ed696,de.ugoe.cs.tcs.se.graph.SEFile@7b0b362c,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@331ed696,de.ugoe.cs.tcs.se.graph.SEFile@39406cb8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@331ed696,de.ugoe.cs.tcs.se.graph.SEFile@681da7fb,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@331ed696,de.ugoe.cs.tcs.se.graph.SEFile@22265d93,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@331ed696,de.ugoe.cs.tcs.se.graph.SEFile@47725592,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@331ed696,de.ugoe.cs.tcs.se.graph.SEFile@1fb12d9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@331ed696,de.ugoe.cs.tcs.se.graph.SEFile@3ecd2375,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@331ed696,de.ugoe.cs.tcs.se.graph.SEFile@7ebc0c22,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,de.ugoe.cs.tcs.se.graph.SEFile@409f97ad,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,de.ugoe.cs.tcs.se.graph.SEFile@7b0b362c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,de.ugoe.cs.tcs.se.graph.SEFile@39406cb8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,de.ugoe.cs.tcs.se.graph.SEFile@681da7fb,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,de.ugoe.cs.tcs.se.graph.SEFile@22265d93,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,de.ugoe.cs.tcs.se.graph.SEFile@47725592,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,de.ugoe.cs.tcs.se.graph.SEFile@1fb12d9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,de.ugoe.cs.tcs.se.graph.SEFile@3ecd2375,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,de.ugoe.cs.tcs.se.graph.SEFile@7ebc0c22,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,de.ugoe.cs.tcs.se.graph.SEFile@409f97ad,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,de.ugoe.cs.tcs.se.graph.SEFile@7b0b362c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,de.ugoe.cs.tcs.se.graph.SEFile@39406cb8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,de.ugoe.cs.tcs.se.graph.SEFile@681da7fb,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,de.ugoe.cs.tcs.se.graph.SEFile@22265d93,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,de.ugoe.cs.tcs.se.graph.SEFile@47725592,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,de.ugoe.cs.tcs.se.graph.SEFile@1fb12d9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,de.ugoe.cs.tcs.se.graph.SEFile@3ecd2375,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,de.ugoe.cs.tcs.se.graph.SEFile@7ebc0c22,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@409f97ad,de.ugoe.cs.tcs.se.graph.SEFile@7b0b362c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@409f97ad,de.ugoe.cs.tcs.se.graph.SEFile@39406cb8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@409f97ad,de.ugoe.cs.tcs.se.graph.SEFile@681da7fb,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@409f97ad,de.ugoe.cs.tcs.se.graph.SEFile@22265d93,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@409f97ad,de.ugoe.cs.tcs.se.graph.SEFile@47725592,1.0,Undirected
